index,source,target,weight
2920,Amgen,Canadian Institutes of Health Research (CIHR),3
2921,American Heart Association,Johnson & Johnson,2
2922,American Heart Association,Pfizer,2
2923,American Heart Association,Sanofi-Aventis,5
2924,Canadian Institutes of Health Research (CIHR),Sanofi-Aventis,6
2925,,Lawrence Ellison Foundation,5
2926,,Wayne and Gladys Valley Foundation,4
2927,European Commission,Ischemia Research and Education Foundation,6
2928,American Federation for Aging Research,European Commission,4
2929,Ischemia Research and Education Foundation,National Health and Medical Research Council of Australia,5
2930,Ischemia Research and Education Foundation,United States Department of Health and Human Services (HHS),5
2931,Ischemia Research and Education Foundation,United States Centers for Disease Control and Prevention (CDC),6
2932,Ischemia Research and Education Foundation,University of Michigan,5
2933,Canadian Institutes of Health Research (CIHR),Ischemia Research and Education Foundation,6
2934,National Health and Medical Research Council of Australia,United States Department of Health and Human Services (HHS),15
2935,National Health and Medical Research Council of Australia,United States Centers for Disease Control and Prevention (CDC),15
2936,National Health and Medical Research Council of Australia,University of Michigan,8
2937,American Federation for Aging Research,National Health and Medical Research Council of Australia,3
2938,United States Department of Health and Human Services (HHS),University of Michigan,57
2939,American Federation for Aging Research,United States Department of Health and Human Services (HHS),3
2940,Canadian Institutes of Health Research (CIHR),United States Department of Health and Human Services (HHS),14
2941,United States Centers for Disease Control and Prevention (CDC),University of Michigan,5
2942,American Federation for Aging Research,United States Centers for Disease Control and Prevention (CDC),4
2943,Canadian Institutes of Health Research (CIHR),United States Centers for Disease Control and Prevention (CDC),19
2944,American Federation for Aging Research,University of Michigan,4
2945,Canadian Institutes of Health Research (CIHR),University of Michigan,5
2946,American Federation for Aging Research,Canadian Institutes of Health Research (CIHR),4
2947,National Key Research and Development Program of China,United States National Institutes of Health (NIH),16
2948,National Key Research and Development Program of China,Netherlands Organization for Scientific Research (NWO),1
2949,National Key Research and Development Program of China,Robert Wood Johnson Foundation,1
2950,Netherlands Organization for Scientific Research (NWO),United States National Institutes of Health (NIH),32
2951,Netherlands Organization for Scientific Research (NWO),Robert Wood Johnson Foundation,2
2952,March of Dimes,Robert Wood Johnson Foundation,2
2953,March of Dimes,United States National Institutes of Health (NIH),35
2954,Ministry of Science and Technology of China,Robert Wood Johnson Foundation,7
2955,Brown University,University of Wisconsin-Madison,4
2956,Brown University,Robert Wood Johnson Foundation,4
2957,Robert Wood Johnson Foundation,University of Wisconsin-Madison,5
2958,Bill and Melinda Gates Foundation,Harvard University,29
2959,California Institute for Regenerative Medicine,Robert Wood Johnson Foundation,2
2960,Russell Sage Foundation,United States National Science Foundation (NSF),28
2961,Russell Sage Foundation,United States National Institutes of Health (NIH),27
2962,Canadian Tobacco Control Research Initiative,Cancer Research UK,57
2963,Canadian Institutes of Health Research (CIHR),Cancer Research UK,62
2964,Cancer Research UK,Roswell Park Transdisciplinary Tobacco Use Research Center,24
2965,Cancer Research UK,Robert Wood Johnson Foundation,64
2966,Canadian Tobacco Control Research Initiative,United States National Institutes of Health (NIH),62
2967,Roswell Park Transdisciplinary Tobacco Use Research Center,United States National Institutes of Health (NIH),40
2968,Canadian Tobacco Control Research Initiative,UK Research and Innovation (UKRI),60
2969,Roswell Park Transdisciplinary Tobacco Use Research Center,UK Research and Innovation (UKRI),26
2970,Canadian Institutes of Health Research (CIHR),Canadian Tobacco Control Research Initiative,62
2971,Canadian Tobacco Control Research Initiative,Roswell Park Transdisciplinary Tobacco Use Research Center,22
2972,Canadian Tobacco Control Research Initiative,Robert Wood Johnson Foundation,61
2973,Canadian Tobacco Control Research Initiative,National Health and Medical Research Council of Australia,61
2974,Canadian Institutes of Health Research (CIHR),Roswell Park Transdisciplinary Tobacco Use Research Center,41
2975,Robert Wood Johnson Foundation,Roswell Park Transdisciplinary Tobacco Use Research Center,40
2976,National Health and Medical Research Council of Australia,Roswell Park Transdisciplinary Tobacco Use Research Center,24
2977,Howard Hughes Medical Institute,Robert Wood Johnson Foundation,20
2978,Camille & Henry Dreyfus Foundation,United States National Institutes of Health (NIH),66
2979,Camille & Henry Dreyfus Foundation,Robert Wood Johnson Foundation,2
2980,,Ford Foundation,29
2981,New York State Health Foundation,United States Department of Health and Human Services (HHS),1
2982,Annie E. Casey Foundation,David and Lucile Packard Foundation,21
2983,,United States Centers for Disease Control and Prevention (CDC),19
2984,Amgen,Commonwealth Fund,4
2985,Commonwealth Fund,Merck & Company,2
2986,Commonwealth Fund,Eli Lilly,4
2987,Commonwealth Fund,Pfizer,5
2988,AstraZeneca,Commonwealth Fund,2
2989,Commonwealth Fund,Novartis,3
2990,Amgen,Robert Wood Johnson Foundation,43
2991,Amgen,United States Department of Health and Human Services (HHS),11
2992,Amgen,Merck & Company,24
2993,Amgen,Eli Lilly,16
2994,Merck & Company,Robert Wood Johnson Foundation,57
2995,Merck & Company,United States Department of Health and Human Services (HHS),22
2996,Abbott Laboratories,Alzheimer's Association,4
2997,Abbott Laboratories,Robert Wood Johnson Foundation,30
2998,Alzheimer's Association,United States National Institutes of Health (NIH),17
2999,Alzheimer's Association,Robert Wood Johnson Foundation,28
3000,MacArthur Foundation,University of Michigan,42
3001,MacArthur Foundation,Roche Holding,29
3002,MacArthur Foundation,National Center for Public Health Protection,41
3003,Government of Spain,MacArthur Foundation,74
3004,Alcohol Advisory Council,MacArthur Foundation,46
3005,MacArthur Foundation,Ministry of Health,76
3006,MacArthur Foundation,Shenzhen Bureau of Health,51
3007,MacArthur Foundation,"Shenzhen Bureau of Science, Technology, and Information",46
3008,Johnson & Johnson,MacArthur Foundation,52
3009,Government of South Africa,MacArthur Foundation,41
3010,MacArthur Foundation,Ministry of Social Protection,85
3011,Health Research Council,MacArthur Foundation,62
3012,Government of New Zealand,MacArthur Foundation,48
3013,Roche Holding,United States Department of Health and Human Services (HHS),40
3014,National Center for Public Health Protection,United States Department of Health and Human Services (HHS),43
3015,Government of Spain,United States Department of Health and Human Services (HHS),74
3016,Alcohol Advisory Council,United States Department of Health and Human Services (HHS),47
3017,Ministry of Health,United States Department of Health and Human Services (HHS),76
3018,Shenzhen Bureau of Health,United States Department of Health and Human Services (HHS),49
3019,"Shenzhen Bureau of Science, Technology, and Information",United States Department of Health and Human Services (HHS),46
3020,Johnson & Johnson,United States Department of Health and Human Services (HHS),70
3021,Government of South Africa,United States Department of Health and Human Services (HHS),43
3022,Ministry of Social Protection,United States Department of Health and Human Services (HHS),83
3023,Health Research Council,United States Department of Health and Human Services (HHS),63
3024,Government of New Zealand,United States Department of Health and Human Services (HHS),47
3025,Eli Lilly,University of Michigan,46
3026,Israel National Institute for Health Policy and Health Services Research,University of Michigan,26
3027,National Insurance Institute of Israel,University of Michigan,28
3028,Roche Holding,University of Michigan,20
3029,Pan American Health Organization (PAHO),University of Michigan,42
3030,National Center for Public Health Protection,University of Michigan,28
3031,National Council on Science and Technology,University of Michigan,36
3032,Government of Spain,University of Michigan,50
3033,Government of Nigeria,University of Michigan,28
3034,Alcohol Advisory Council,University of Michigan,27
3035,John W. Alden Trust,University of Michigan,39
3036,Ministry of Health,University of Michigan,36
3037,Shenzhen Bureau of Health,University of Michigan,23
3038,Government of Lebanon,University of Michigan,41
3039,"Shenzhen Bureau of Science, Technology, and Information",University of Michigan,20
3040,Ortho-McNeil Pharmaceutical,University of Michigan,27
3041,Johnson & Johnson,University of Michigan,32
3042,Glaxo Smith Kline,University of Michigan,44
3043,Government of South Africa,University of Michigan,42
3044,National Institute of Psychiatry Ramon de la Fuente,University of Michigan,31
3045,Ministry of Social Protection,University of Michigan,39
3046,Health Research Council,University of Michigan,34
3047,Government of New Zealand,University of Michigan,27
3048,University of Michigan,World Health Organization,43
3049,Novartis,University of Michigan,46
3050,Eli Lilly,Roche Holding,42
3051,Eli Lilly,National Center for Public Health Protection,42
3052,Eli Lilly,Government of Spain,77
3053,Alcohol Advisory Council,Eli Lilly,49
3054,Eli Lilly,Shenzhen Bureau of Health,51
3055,Eli Lilly,"Shenzhen Bureau of Science, Technology, and Information",47
3056,Eli Lilly,Government of South Africa,43
3057,Eli Lilly,Ministry of Social Protection,87
3058,Eli Lilly,Health Research Council,65
3059,Eli Lilly,Government of New Zealand,49
3060,Israel National Institute for Health Policy and Health Services Research,Roche Holding,15
3061,Israel National Institute for Health Policy and Health Services Research,National Center for Public Health Protection,24
3062,Government of Spain,Israel National Institute for Health Policy and Health Services Research,42
3063,Alcohol Advisory Council,Israel National Institute for Health Policy and Health Services Research,30
3064,Israel National Institute for Health Policy and Health Services Research,Ministry of Health,44
3065,Israel National Institute for Health Policy and Health Services Research,Shenzhen Bureau of Health,28
3066,Israel National Institute for Health Policy and Health Services Research,"Shenzhen Bureau of Science, Technology, and Information",24
